datetime,bitcoin,ethereum,dogcoin,bnb
15/08/2024 14:29:13,57822.44,2601.32,0.1022,515.57
15/08/2024 14:29:23,57811.83,2600.79,0.1022,515.54
15/08/2024 14:29:33,57796.8,2600.36,0.1022,515.43
15/08/2024 14:29:43,57779.41,2599.31,0.1022,515.34
15/08/2024 14:29:53,57786.68,2598.82,0.1022,515.34
15/08/2024 14:30:04,57806.09,2600.18,0.1022,515.34
15/08/2024 14:30:14,57832.59,2601.36,0.1022,515.2
15/08/2024 14:30:24,57847.01,2601.75,0.1022,515.2
15/08/2024 14:30:34,57822.92,2600.56,0.1022,515.22
15/08/2024 14:30:44,57825.02,2599.95,0.1022,515.17
15/08/2024 14:30:54,57784.18,2594.18,0.1022,515.17
15/08/2024 14:31:04,57742.27,2593.59,0.1022,515.04
15/08/2024 14:31:15,57750.6,2595.93,0.1022,514.88
15/08/2024 14:31:25,57786.86,2597.14,0.1022,514.88
15/08/2024 14:31:35,57869.54,2597.8,0.1022,514.97
15/08/2024 14:31:45,57845.17,2598.64,0.1022,515.02
15/08/2024 14:31:55,57842.36,2600.51,0.1022,515.02
15/08/2024 14:32:05,57861.1,2601.14,0.1022,515.02
15/08/2024 14:32:16,57883.83,2602.37,0.1022,515.02
15/08/2024 14:32:26,57895.56,2602.24,0.1022,515.05
15/08/2024 14:32:36,57877.61,2602.07,0.1022,515.08
15/08/2024 14:32:46,57881.67,2600.97,0.1022,515.21
15/08/2024 14:32:56,57847.22,2599.3,0.1022,515.21
15/08/2024 14:33:06,57887.92,2601.17,0.1022,515.13
15/08/2024 14:33:16,57895.76,2600.75,0.1022,514.78
15/08/2024 14:33:27,57940.71,2602.05,0.1022,514.74
15/08/2024 14:33:37,57959.49,2605.33,0.1022,514.97
15/08/2024 14:33:47,57955.84,2604.15,0.1022,515.01
15/08/2024 14:33:57,57956.07,2604.67,0.1022,515.01
15/08/2024 14:34:07,57955.4,2605.51,0.1022,514.96
15/08/2024 14:34:18,57958.64,2606.46,0.1022,514.96
15/08/2024 14:34:28,57968.64,2608.52,0.1022,514.96
15/08/2024 14:34:38,57955.15,2608.06,0.1022,515.02
15/08/2024 14:34:48,57951.29,2607.44,0.1022,515.02
15/08/2024 14:34:58,57963.85,2607.58,0.1022,515.01
15/08/2024 14:35:08,57962.03,2607.34,0.1022,515.02
15/08/2024 14:35:19,57964.04,2608.14,0.1022,514.9
15/08/2024 14:35:29,57964.12,2608.02,0.1022,514.95
15/08/2024 14:35:39,57982.48,2609.27,0.1022,515.06
15/08/2024 14:35:49,57968.49,2609.63,0.1022,515.06
15/08/2024 14:35:59,57996.49,2610.61,0.1022,515.09
15/08/2024 14:36:09,57989.58,2609.68,0.1022,515.09
15/08/2024 14:36:19,58001.27,2610.72,0.1022,515.79
15/08/2024 14:36:30,57999.43,2610.82,0.1022,515.89
15/08/2024 14:36:40,57997.25,2610.73,0.1022,515.92
15/08/2024 14:36:50,58002.35,2611.27,0.1022,515.92
15/08/2024 14:37:00,58002.2,2611.51,0.1022,515.9
15/08/2024 14:37:10,58006.04,2611.65,0.1022,515.9
15/08/2024 14:37:20,57997.9,2612.64,0.1022,516.08
15/08/2024 14:37:31,58000.5,2613.49,0.1022,516.16
15/08/2024 14:37:41,57994.39,2612.82,0.1022,516.16
15/08/2024 14:37:51,57998.18,2612.89,0.1022,516.15
15/08/2024 14:38:01,57985.12,2612.11,0.1022,516.16
15/08/2024 14:38:11,57979.71,2611.82,0.1022,516.0
15/08/2024 14:38:21,57981.88,2612.01,0.1022,516.0
15/08/2024 14:38:32,57978.19,2611.28,0.1022,515.96
15/08/2024 14:38:42,57984.65,2611.63,0.1022,515.88
